Latitude        Longitude          County
33.6280         -100.8197       Dickens        
33.6666         -101.5277       Crosby         
35.1663         -101.8868       Randall        
35.4015         -101.8951       Potter         
35.4319         -100.2568       Wheeler        
36.4453         -100.3254       Lipscomb       
37.1674         -89.3537        Alexander      
37.1935         -89.0933        Pulaski        
37.2146         -89.1968        Pulaski        
37.8042         -88.2612        Gallatin       
37.8245         -88.9209        Williamson     
37.9290         -87.6604        Vanderburgh    
37.9703         -86.9568        Spencer        
37.9971         -87.5750        Vanderburgh    
38.0828         -87.7543        Posey          
38.1081         -87.5589        Vanderburgh    
38.1176         -86.9286        Spencer        
38.1645         -86.0510        Harrison       
38.1834         -86.6058        Perry          
38.2189         -86.1145        Harrison       
38.2764         -87.3778        Gibson         
38.2820         -86.4843        Crawford       
38.3445         -86.3003        Crawford       
38.3878         -86.7568        Dubois         
38.4034         -87.8187        Wabash         
38.4626         -86.3180        Washington     
38.5159         -88.4375        Wayne          
38.5398         -85.7734        Clark          
38.5514         -90.1544        St. Clair      
38.6208         -86.5899        Orange         
38.6427         -90.1387        St. Clair      
38.6706         -90.1689        Madison        
38.7067         -87.7657        Lawrence       
38.7495         -83.1335        Scioto         
38.7687         -86.3428        Lawrence       
38.7903         -83.9666        Brown          
38.8017         -83.5333        Adams          
38.8237         -83.6995        Brown          
38.8446         -89.0790        Fayette        
38.8579         -87.3879        Knox           
38.8836         -86.0486        Jackson        
38.9253         -86.7742        Greene         
38.9280         -88.0291        Jasper         
38.9621         -83.5936        Adams          
38.9831         -85.7405        Jennings       
39.0388         -83.7505        Highland       
39.0491         -85.4789        Jennings       
39.0691         -87.2599        Sullivan       
39.0859         -86.6689        Monroe         
39.0908         -89.3945        Montgomery     
39.1010         -87.4102        Sullivan       
39.1075         -84.5257        Hamilton       
39.1110         -84.6594        Hamilton       
39.1232         -84.1350        Clermont       
39.1432         -84.5217        Hamilton       
39.1445         -89.1087        Fayette        
39.1447         -84.5533        Hamilton       
39.1668         -84.5382        Hamilton       
39.1802         -84.4204        Hamilton       
39.1952         -89.9607        Macoupin       
39.1991         -84.5251        Hamilton       
39.2176         -88.4803        Shelby         
39.2208         -84.6418        Hamilton       
39.2303         -87.0458        Owen           
