Latitude        Longitude             Zip 
38.6208         -86.5899             47469
41.4495         -87.4764             46373
40.6947         -86.1951             46967
39.7795         -86.1328             46244
38.8579         -87.3879             47561
41.4602         -86.8355             46382
41.0897         -86.8808             47957
40.7368         -85.1622             46714
41.4570         -85.4822             46794
40.8320         -85.0054             46782
39.6488         -85.5828             46104
39.7795         -86.1328             46251
39.1010         -87.4102             47882
39.5269         -87.0869             47857
41.3098         -86.1174             46504
41.2696         -84.9398             46788
40.8331         -85.3190             46770
41.5401         -86.0205             46573
38.8836         -86.0486             47220
38.5398         -85.7734             47126
41.6763         -85.9621             46516
40.4696         -86.1189             46904
39.7406         -86.1569             46225
41.6835         -86.1682             46545
40.0060         -85.4434             47388
39.6675         -85.6934             46161
38.4626         -86.3180             47125
37.9290         -87.6604             47712
41.2150         -86.7759             46366
40.5359         -85.6616             46953
38.1081         -87.5589             47618
38.1834         -86.6058             47576
38.7687         -86.3428             47467
41.1217         -86.3858             46945
39.8466         -86.3869             46112
41.1053         -85.0624             46815
41.0480         -85.1135             46806
39.9040         -85.5205             47351
41.0938         -85.0707             46857
41.6546         -86.2479             46613
37.9703         -86.9568             47615
38.1176         -86.9286             47579
41.1547         -85.9693             46508
41.5848         -85.8581             46526
41.4402         -85.0221             46793
38.9831         -85.7405             47245
40.7361         -86.3734             46942
40.8825         -86.7453             47925
40.4879         -85.6055             46933
41.0087         -86.4061             46939
41.2111         -86.8725             46374
41.2124         -85.7061             46562
39.0859         -86.6689             47463
40.2811         -87.2241             47918
40.7516         -87.0290             47995
41.0938         -85.0707             46868
40.2884         -86.2297             46049
41.5500         -87.4569             46322
39.5000         -86.1797             46106
39.8957         -85.6144             46186
40.0519         -84.9300             47355
40.5445         -86.5016             46929
40.3761         -86.7740             47941
39.6682         -86.4959             46118
39.2727         -87.1082             47841
38.3445         -86.3003             47145
38.2189         -86.1145             47112
41.7286         -85.4727             46746
37.9971         -87.5750             47719
39.7795         -86.1328             46295
38.3878         -86.7568             47521
40.0449         -86.4641             46052
41.0938         -85.0707             46898
39.2303         -87.0458             47427
42.7325         -84.5555             48916
43.4017         -84.8429             48877
43.7068         -86.3142             49420
42.6367         -82.5866             48001
44.7317         -85.8528             49650
44.0457         -85.4300             49655
42.5378         -83.4810             48391
43.1793         -85.2497             48838
42.3495         -83.0927             48208
43.5657         -84.5873             48883
42.4723         -83.2940             48033
42.5365         -83.1503             48017
42.6601         -83.3863             48321
44.3692         -86.0467             49645
43.2828         -84.6088             48847
42.9147         -83.4845             48438
42.2451         -85.7943             49071
41.8259         -84.1016             49279
42.5675         -83.1500             48037
41.8276         -83.8773             49228
45.3637         -84.4695             49705
43.3962         -84.4243             48662
42.0143         -85.4727             49072
42.8187         -85.5244             49316
44.2790         -84.2286             48661
42.4788         -83.0248             48015
42.4895         -83.1446             48068
42.4586         -83.1363             48220
42.5149         -82.9968             48093
43.2484         -84.5433             48862
45.2654         -85.2297             49720
46.2321         -88.4508             49903
41.8963         -84.4440             49271
42.4136         -86.1298             49063
45.8410         -87.4816             49873
42.2340         -85.3238             49034
47.0937         -88.6613             49905
45.6792         -87.5319             49874
41.8459         -85.3345             49030
45.3748         -87.6206             49848
43.7714         -84.0513             48634
44.8947         -83.6059             49747
42.7732         -83.1711             48363
42.2581         -84.7561             49224
42.6601         -83.3863             48347
42.9134         -85.7053             49509
42.5936         -85.6282             49344
43.2645         -83.3796             48435
42.4710         -83.1438             48069
42.0275         -85.7988             49067
43.3485         -84.0326             48606
46.5308         -88.0914             49861
42.4992         -83.4773             48377
42.2459         -84.4013             49204
43.0314         -85.5503             49515
45.0666         -85.5974             49674
43.6896         -82.9640             48475
43.8377         -83.3525             48720
44.1120         -86.2652             49411
42.9443         -82.6916             48027
44.8382         -84.6824             49733
46.4088         -85.0136             49728
43.4278         -84.5952             48880
43.9583         -84.9193             48633
46.4151         -84.2854             49783
42.8409         -82.8899             48005
42.1209         -85.5024             49097
42.1602         -83.9117             48115
45.7777         -84.7298             49701
43.3645         -85.3792             49322
42.3903         -84.3428             49272
42.3756         -83.2889             48239
43.1930         -82.8393             48454
42.3959         -83.1411             48238
42.1555         -84.0332             48158
44.9924         -84.1480             49709
47.1158         -88.5580             49931
43.4269         -85.2924             48850
42.5424         -83.3793             48322
44.3767         -85.0946             49651
42.2069         -84.5501             49283
43.1962         -86.2738             49441
42.1244         -83.5946             48190
43.4047         -83.9156             48601
44.0499         -83.8430             48749
42.5702         -84.8352             48813
44.8020         -85.4347             49690
42.3809         -83.0409             48211
43.2435         -82.5301             48450
42.8894         -85.6219             49508
44.8162         -85.5751             49685
43.5844         -83.5393             48701
43.1036         -84.5139             48833
41.8909         -83.7847             49238
43.7204         -84.3954             48657
42.5015         -85.2495             49050
42.4734         -83.2219             48086
43.5965         -86.0607             49421
42.0230         -84.3794             49281
43.0712         -85.4809             49317
44.0827         -73.5306             12998
41.4641         -74.0591             12584
40.6763         -73.7966             11436
40.5923         -73.7933             11692
42.2281         -76.1625             13811
43.4167         -73.6975             12845
42.1955         -74.1023             12436
42.4511         -79.4154             14166
41.0977         -74.0109             10954
40.7808         -73.9772             10102
40.6306         -74.1379             10302
42.2098         -79.4667             14722
42.9571         -74.4021             12068
43.6262         -75.3553             13368
42.7708         -76.5862             13147
40.9365         -72.5773             11970
42.6526         -73.7562             12230
42.6336         -75.6172             13832
42.9142         -76.7024             13034
42.7684         -78.8871             14231
43.6517         -76.1264             13145
40.7684         -73.5251             11802
42.2470         -73.7552             12534
40.7278         -73.8602             11374
40.7297         -73.1607             11739
42.8946         -78.8245             14212
42.0704         -78.1448             14715
41.7227         -73.7184             12585
42.6526         -73.7562             12237
44.0147         -75.7284             13643
40.6514         -73.8708             11424
42.8974         -76.2806             13110
43.6754         -73.9325             12862
41.5202         -73.9333             12527
40.7135         -73.3546             11704
43.7237         -74.0873             12856
43.4117         -75.8226             13483
43.1685         -77.6845             14606
40.7651         -73.9858             10019
42.9167         -78.8895             14213
44.6592         -74.9681             13676
42.0849         -74.2407             12495
40.7993         -73.7343             11023
40.7851         -73.8096             11357
43.1099         -76.1870             13088
42.0319         -78.2097             14754
42.8927         -76.0265             13138
40.8382         -73.9420             10032
43.6978         -73.9860             12853
43.7323         -75.3669             13343
42.9829         -78.0898             14143
42.0172         -76.5333             14892
43.8801         -75.6839             13626
44.3604         -73.3963             12996
42.1868         -73.5483             12529
40.5457         -74.1792             10312
42.2417         -75.5366             13730
40.7496         -73.9919             10121
43.0538         -75.2716             13479
40.6869         -73.8501             11431
43.3281         -77.9953             14508
40.7808         -73.9772             10276
43.1965         -75.7305             13157
40.8861         -73.2438             11754
40.8086         -72.7064             11960
40.7049         -73.6176             11550
43.1401         -73.8398             12833
40.9043         -72.4103             11968
40.8857         -73.5526             11765
41.3946         -74.3302             10924
41.7599         -73.7437             12602
40.8702         -73.8495             10469
43.4508         -73.3031             12849
42.5126         -76.9270             14857
40.7517         -73.9752             10174
40.7105         -74.0163             10280
41.8782         -75.0343             12736
44.6902         -75.4774             13669
42.6165         -76.7268             14847
42.6769         -78.4410             14083
43.8622         -75.8719             13682
42.6315         -75.1866             13342
41.5443         -74.3615             10915
42.4723         -78.9981             14129
42.0354         -73.9092             12504
40.9943         -72.5363             11952
42.0053         -74.1532             12433
42.6526         -73.7562             12261
43.0662         -73.9215             12863
42.6809         -74.7653             13488
43.3024         -74.9977             13324
42.3709         -75.2486             13859
43.0616         -74.3375             12078
42.4276         -78.3608             14060
40.6514         -73.8708             11499
43.6148         -74.0249             12811
41.8756         -73.6912             12506
43.0855         -76.8725             14433
40.7143         -74.0060             10203
43.0408         -78.7812             14228
40.6752         -84.1244             45806
39.1802         -84.4204             45213
41.6712         -83.6060             43606
39.4281         -81.4644             45750
39.9945         -81.5006             43750
41.1668         -82.0157             44253
39.5554         -84.6219             45064
40.6777         -84.5152             45862
40.8336         -84.3247             45833
41.2684         -82.8577             44811
40.7598         -81.3500             44707
40.7627         -82.5593             44906
41.4320         -82.2038             44053
39.1447         -84.5533             45225
41.1698         -81.3124             44211
40.0204         -80.7638             43906
41.1712         -82.2269             44090
39.7390         -84.0856             45432
39.1232         -84.1350             45160
41.6225         -80.5754             44003
41.1237         -80.6539             44504
39.7970         -83.8256             45316
40.3572         -81.6436             43803
39.1668         -84.5382             45263
39.2668         -84.6283             45252
41.4735         -81.7398             44102
38.7903         -83.9666             45131
41.3208         -81.5429             44067
39.6083         -84.0260             45370
41.1328         -83.2854             44809
39.8013         -82.8125             43136
39.7687         -83.2057             43117
40.3407         -82.1559             43843
39.9853         -81.1375             43713
41.1287         -81.5400             44398
41.5842         -84.7570             43518
41.3921         -81.5232             44146
39.3987         -81.6649             45712
39.9690         -83.0114             43266
38.7495         -83.1335             45663
40.3406         -84.4963             45351
39.7505         -84.2686             45413
39.6673         -80.8720             43931
40.2876         -83.9744             43343
39.9648         -83.1260             43228
39.4413         -84.3652             45050
40.4659         -84.1780             45306
39.8534         -84.5369             45338
39.8520         -81.6576             43732
41.6662         -81.3396             44061
41.0197         -81.6212             44203
40.6142         -81.4223             44697
39.2800         -82.4753             45651
40.7680         -81.4119             44706
41.2395         -83.1479             44861
40.2126         -80.8815             43901
